nev1; nev2; ho; nap;
Újév; Fruzsina; 1; 1;
Ábel; ; 1; 2;
Genovéva; Benjámin; 1; 3;
Titusz; Leona; 1; 4;
Simon; ; 1; 5;
Boldizsár; ; 1; 6;
Attila; Ramóna; 1; 7;
Gyöngyvér; ; 1; 8;
Marcell; ; 1; 9;
Melánia; ; 1; 10;
Ágota; ; 1; 11;
Ernő; ; 1; 12;
Veronika; ; 1; 13;
Bódog; ; 1; 14;
Lóránt; Lóránd; 1; 15;
Gusztáv; ; 1; 16;
Antal; Antónia; 1; 17;
Piroska; ; 1; 18;
Sára; Marió; 1; 19;
Fábián; Sebestyén; 1; 20;
Ágnes; ; 1; 21;
Vince; Artúr; 1; 22;
Zelma; Rajmund; 1; 23;
Timót; ; 1; 24;
Pál; ; 1; 25;
Vanda; Paula; 1; 26;
Angelika; ; 1; 27;
Károly; Karola; 1; 28;
Adél; ; 1; 29;
Martina; ; 1; 30;
Marcella; Gerda; 1; 31;
Ignác; ; 2; 1;
Karolina; Aida; 2; 2;
Balázs; ; 2; 3;
Ráhel; Csenge; 2; 4;
Ágota; Ingrid; 2; 5;
Dorottya; Dóra; 2; 6;
Tódor; Rómeó; 2; 7;
Aranka; ; 2; 8;
Abigél; Alex; 2; 9;
Elvira; ; 2; 10;
Bertold; Marietta; 2; 11;
Lívia; Lídia; 2; 12;
Ella; Linda; 2; 13;
Bálint; Valentin; 2; 14;
Kolos; Georgina; 2; 15;
Julianna; Lilla; 2; 16;
Donát; ; 2; 17;
Bernadett; ; 2; 18;
Zsuzsanna; ; 2; 19;
Aladár; Álmos; 2; 20;
Eleonóra; ; 2; 21;
Gerzson; ; 2; 22;
Alfréd; ; 2; 23;
Mátyás; Jázmin; 2; 24;
Géza; ; 2; 25;
Edina; ; 2; 26;
Ákos; Bátor; 2; 27;
Elemér; ; 2; 28;
Albin; ; 3; 1;
Lujza; ; 3; 2;
Kornélia; ; 3; 3;
Kázmér; ; 3; 4;
Adorján; Adrián; 3; 5;
Leonóra; Inez; 3; 6;
Tamás; ; 3; 7;
Zoltán; ; 3; 8;
Franciska; Fanni; 3; 9;
Ildikó; ; 3; 10;
Szilárd; ; 3; 11;
Gergely; ; 3; 12;
Krisztián; Ajtony; 3; 13;
Matild; ; 3; 14;
Nemz.ünnep; Kristóf; 3; 15;
Henrietta; ; 3; 16;
Gertrúd; Patrick; 3; 17;
Sándor; Ede; 3; 18;
József; Bánk; 3; 19;
Klaudia; ; 3; 20;
Benedek; ; 3; 21;
Beáta; Izolda; 3; 22;
Emőke; ; 3; 23;
Gábor; Karina; 3; 24;
Irén; Írisz; 3; 25;
Emánuel; ; 3; 26;
Hajnalka; ; 3; 27;
Gedeon; Johanna; 3; 28;
Auguszta; ; 3; 29;
Zalán; ; 3; 30;
Árpád; ; 3; 31;
Hugó; ; 4; 1;
Áron; ; 4; 2;
Buda; Richárd; 4; 3;
Izidor; ; 4; 4;
Vince; ; 4; 5;
Vilmos; Bíborka; 4; 6;
Herman; ; 4; 7;
Dénes; ; 4; 8;
Erhard; ; 4; 9;
Zsolt; ; 4; 10;
Leó; Szaniszló; 4; 11;
Gyula; ; 4; 12;
Ida; ; 4; 13;
Tibor; ; 4; 14;
Anasztázia; Tas; 4; 15;
Csongor; ; 4; 16;
Rudolf; ; 4; 17;
Andrea; Lima; 4; 18;
Emma; ; 4; 19;
Tivadar; ; 4; 20;
Konrád; ; 4; 21;
Csilla; Noémi; 4; 22;
Béla; ; 4; 23;
György; ; 4; 24;
Márk; ; 4; 25;
Ervin; ; 4; 26;
Zita; ; 4; 27;
Valéria; ; 4; 28;
Péter; ; 4; 29;
Katalin; Kitti; 4; 30;
Fülöp; Jakab; 5; 1;
Zsigmond; ; 5; 2;
Tímea; Irma; 5; 3;
Mónika; Flórián; 5; 4;
Györgyi; ; 5; 5;
Ivett; Frida; 5; 6;
Gizella; ; 5; 7;
Mihály; ; 5; 8;
Gergely; ; 5; 9;
Ármin; Pálma; 5; 10;
Ferenc; ; 5; 11;
Pongrác; ; 5; 12;
Szervác; Imola; 5; 13;
Bonifác; ; 5; 14;
Zsófia; Szonja; 5; 15;
Mózes; Botond; 5; 16;
Paszkál; ; 5; 17;
Erik; Alexandra; 5; 18;
Ivó; Milán; 5; 19;
Bernát; Felícia; 5; 20;
Konstantin; ; 5; 21;
Júlia; Rita; 5; 22;
Dezső; ; 5; 23;
Eszter; Eliza; 5; 24;
Orbán; ; 5; 25;
Fülöp; Evelin; 5; 26;
Hella; ; 5; 27;
Emil; Csanád; 5; 28;
Magdolna; ; 5; 29;
Janka; Zsanett; 5; 30;
Angéla; Petronella; 5; 31;
Tünde; ; 6; 1;
Kármen; Anita; 6; 2;
Klotild; Pünkösd; 6; 3;
Bulcsú; ; 6; 4;
Fatime; ; 6; 5;
Norbert; Cintia; 6; 6;
Róbert; ; 6; 7;
Medárd; ; 6; 8;
Félix; ; 6; 9;
Margit; Gréta; 6; 10;
Barnabás; ; 6; 11;
Villő; ; 6; 12;
Antal; Anett; 6; 13;
Vazul; ; 6; 14;
Jolán; Vid; 6; 15;
Jusztin; ; 6; 16;
Laura; Alida; 6; 17;
Arnold; Levente; 6; 18;
Gyárfás; ; 6; 19;
Rafael; ; 6; 20;
Alajos; Leila; 6; 21;
Paulina; ; 6; 22;
Zoltán; ; 6; 23;
Iván; ; 6; 24;
Vilmos; ; 6; 25;
János; Pál; 6; 26;
László; ; 6; 27;
Levente; Irén; 6; 28;
Péter; Pál; 6; 29;
Pál; ; 6; 30;
Tihamér; Annamária; 7; 1;
Ottó; ; 7; 2;
Kornél; Soma; 7; 3;
Ulrik; ; 7; 4;
Emese; Sarolta; 7; 5;
Csaba; ; 7; 6;
